group_id,category,subcategory,basis,description,annual_volume,specs
G0024,Luxury Vinyl Plank,Waterproof LVP,sq_ft,Waterproof LVP - Kingsport SPC 12,152137,core=SPC;wear_layer_mil=12;thickness_mm=6.5;width_in=9;length_in=60;waterproof=yes;attached_pad=yes;finish=wire brushed;look=oak;install=glue
G0025,Luxury Vinyl Plank,WPC Rigid Core,sq_ft,WPC Rigid Core - Bergamo WPC 28,247080,core=WPC;wear_layer_mil=28;thickness_mm=6.0;width_in=7.2;length_in=72;waterproof=yes;attached_pad=no;finish=hand scraped;look=maple;install=glue
G0026,Luxury Vinyl Plank,Glue Down LVP,sq_ft,Glue Down LVP - Fieldstone WPC 20,240188,core=WPC;wear_layer_mil=20;thickness_mm=6.5;width_in=9;length_in=48;waterproof=yes;attached_pad=no;finish=wire brushed;look=maple;install=glue
G0027,Luxury Vinyl Plank,Glue Down LVP,sq_ft,Glue Down LVP - Ivory rigid core 20,212609,core=rigid core;wear_layer_mil=20;thickness_mm=8.0;width_in=9;length_in=60;waterproof=yes;attached_pad=no;finish=hand scraped;look=hickory;install=glue
G0028,Luxury Vinyl Plank,Glue Down LVP,sq_ft,Glue Down LVP - Alabaster SPC 12,132973,core=SPC;wear_layer_mil=12;thickness_mm=6.5;width_in=9;length_in=60;waterproof=yes;attached_pad=yes;finish=matte;look=oak;install=glue
G0029,Luxury Vinyl Plank,Waterproof LVP,sq_ft,Waterproof LVP - Autumn Hollow SPC 12,212904,core=SPC;wear_layer_mil=12;thickness_mm=8.0;width_in=6;length_in=72;waterproof=yes;attached_pad=no;finish=matte;look=oak;install=glue
G0030,Luxury Vinyl Plank,WPC Rigid Core,sq_ft,WPC Rigid Core - Granite Peak WPC 12,195088,core=WPC;wear_layer_mil=12;thickness_mm=6.5;width_in=7;length_in=72;waterproof=yes;attached_pad=no;finish=matte;look=hickory;install=click
G0031,Laminate,Waterproof Laminate,sq_ft,Waterproof Laminate - Fieldstone 4 7,91308,ac_rating=4;thickness_mm=7;width_in=9;length_in=50;attached_pad=no;waterproof=no;finish=embossed;look=tile
G0032,Laminate,Waterproof Laminate,sq_ft,Waterproof Laminate - Sundance 4 12,157778,ac_rating=4;thickness_mm=12;width_in=9;length_in=54;attached_pad=yes;waterproof=no;finish=matte;look=maple
G0033,Laminate,Water Resistant Laminate,sq_ft,Water Resistant Laminate - Coastal Grey 3 7,63538,ac_rating=3;thickness_mm=7;width_in=5;length_in=50;attached_pad=yes;waterproof=no;finish=matte;look=oak
G0034,Laminate,Water Resistant Laminate,sq_ft,Water Resistant Laminate - Saxony 5 7,49772,ac_rating=5;thickness_mm=7;width_in=7;length_in=48;attached_pad=yes;waterproof=yes;finish=hand scraped;look=oak
G0035,Laminate,Water Resistant Laminate,sq_ft,Water Resistant Laminate - Pembroke 5 7,179784,ac_rating=5;thickness_mm=7;width_in=5;length_in=48;attached_pad=yes;waterproof=yes;finish=hand scraped;look=maple
G0036,Laminate,Waterproof Laminate,sq_ft,Waterproof Laminate - Slate Creek 4 10,179213,ac_rating=4;thickness_mm=10;width_in=9;length_in=50;attached_pad=no;waterproof=no;finish=hand scraped;look=hickory
G0037,Laminate,Water Resistant Laminate,sq_ft,Water Resistant Laminate - Umber 3 8,10355,ac_rating=3;thickness_mm=8;width_in=7;length_in=48;attached_pad=yes;waterproof=yes;finish=embossed;look=maple
G0038,Laminate,Waterproof Laminate,sq_ft,Waterproof Laminate - Cedar Point 4 12,18181,ac_rating=4;thickness_mm=12;width_in=9;length_in=48;attached_pad=yes;waterproof=yes;finish=matte;look=maple
G0039,Laminate,Water Resistant Laminate,sq_ft,Water Resistant Laminate - Windsor 5 10,70810,ac_rating=5;thickness_mm=10;width_in=5;length_in=48;attached_pad=no;waterproof=yes;finish=matte;look=tile
G0040,Laminate,Waterproof Laminate,sq_ft,Waterproof Laminate - Coastal Grey 5 12,18195,ac_rating=5;thickness_mm=12;width_in=9;length_in=54;attached_pad=yes;waterproof=yes;finish=embossed;look=hickory
G0041,Laminate,Waterproof Laminate,sq_ft,Waterproof Laminate - Chelsea 4 7,33774,ac_rating=4;thickness_mm=7;width_in=7;length_in=48;attached_pad=yes;waterproof=yes;finish=embossed;look=oak
G0042,Laminate,Waterproof Laminate,sq_ft,Waterproof Laminate - Willow Bend 4 7,42624,ac_rating=4;thickness_mm=7;width_in=7;length_in=48;attached_pad=yes;waterproof=yes;finish=matte;look=tile
G0043,Laminate,Waterproof Laminate,sq_ft,Waterproof Laminate - Willow Bend 5 8,113014,ac_rating=5;thickness_mm=8;width_in=5;length_in=54;attached_pad=yes;waterproof=no;finish=matte;look=hickory
G0044,Laminate,Water Resistant Laminate,sq_ft,Water Resistant Laminate - Carrara 4 12,40708,ac_rating=4;thickness_mm=12;width_in=7;length_in=54;attached_pad=no;waterproof=yes;finish=matte;look=maple
G0045,Laminate,Water Resistant Laminate,sq_ft,Water Resistant Laminate - Barnwood 4 12,106096,ac_rating=4;thickness_mm=12;width_in=7;length_in=50;attached_pad=yes;waterproof=no;finish=embossed;look=hickory
G0046,Laminate,Standard Laminate,sq_ft,Standard Laminate - Whitewash 3 12,29385,ac_rating=3;thickness_mm=12;width_in=7;length_in=50;attached_pad=yes;waterproof=no;finish=hand scraped;look=maple
G0047,Laminate,Water Resistant Laminate,sq_ft,Water Resistant Laminate - Sterling 3 10,159396,ac_rating=3;thickness_mm=10;width_in=5;length_in=48;attached_pad=no;waterproof=yes;finish=embossed;look=maple
G0048,Laminate,Water Resistant Laminate,sq_ft,Water Resistant Laminate - Charcoal 3 10,132972,ac_rating=3;thickness_mm=10;width_in=5;length_in=48;attached_pad=no;waterproof=yes;finish=hand scraped;look=maple
G0049,Engineered Hardwood,Click Engineered,sq_ft,Click Engineered - Copperfield white oak 3.0,48288,species=white oak;veneer_mm=3.0;thickness_mm=12.7;width_in=5;finish=hand scraped;install=nail
G0050,Engineered Hardwood,Glue Down Engineered,sq_ft,Glue Down Engineered - Cedar Point birch 4.0,57976,species=birch;veneer_mm=4.0;thickness_mm=9.5;width_in=9.5;finish=smooth;install=nail
G0051,Engineered Hardwood,Wide Plank Engineered,sq_ft,Wide Plank Engineered - Windsor white oak 3.0,7683,species=white oak;veneer_mm=3.0;thickness_mm=15.0;width_in=6.5;finish=hand scraped;install=glue
G0052,Engineered Hardwood,Wide Plank Engineered,sq_ft,Wide Plank Engineered - Ivory hickory 2.0,62688,species=hickory;veneer_mm=2.0;thickness_mm=12.7;width_in=6.5;finish=hand scraped;install=click
G0053,Engineered Hardwood,Wide Plank Engineered,sq_ft,Wide Plank Engineered - Windsor red oak 3.0,27903,species=red oak;veneer_mm=3.0;thickness_mm=9.5;width_in=5;finish=smooth;install=glue
G0054,Engineered Hardwood,Wide Plank Engineered,sq_ft,Wide Plank Engineered - Greystone birch 3.0,55125,species=birch;veneer_mm=3.0;thickness_mm=9.5;width_in=9.5;finish=smooth;install=nail
G0055,Engineered Hardwood,Wide Plank Engineered,sq_ft,Wide Plank Engineered - Autumn Hollow red oak 4.0,46645,species=red oak;veneer_mm=4.0;thickness_mm=9.5;width_in=7.5;finish=hand scraped;install=nail
G0056,Engineered Hardwood,Wide Plank Engineered,sq_ft,Wide Plank Engineered - Sandstone hickory 0.6,40648,species=hickory;veneer_mm=0.6;thickness_mm=15.0;width_in=9.5;finish=wire brushed;install=nail
G0057,Engineered Hardwood,Click Engineered,sq_ft,Click Engineered - Millbrook birch 2.0,37319,species=birch;veneer_mm=2.0;thickness_mm=15.0;width_in=5;finish=smooth;install=glue
G0058,Engineered Hardwood,Glue Down Engineered,sq_ft,Glue Down Engineered - Calacatta white oak 2.0,52835,species=white oak;veneer_mm=2.0;thickness_mm=9.5;width_in=7.5;finish=wire brushed;install=nail
G0059,Engineered Hardwood,Click Engineered,sq_ft,Click Engineered - Cambridge birch 3.0,59690,species=birch;veneer_mm=3.0;thickness_mm=9.5;width_in=7.5;finish=wire brushed;install=click
G0060,Engineered Hardwood,Click Engineered,sq_ft,Click Engineered - Havana birch 3.0,61722,species=birch;veneer_mm=3.0;thickness_mm=9.5;width_in=7.5;finish=wire brushed;install=nail
G0061,Engineered Hardwood,Wide Plank Engineered,sq_ft,Wide Plank Engineered - Amber Ridge birch 0.6,10213,species=birch;veneer_mm=0.6;thickness_mm=15.0;width_in=5;finish=hand scraped;install=glue
G0062,Engineered Hardwood,Glue Down Engineered,sq_ft,Glue Down Engineered - Copperfield walnut 0.6,54920,species=walnut;veneer_mm=0.6;thickness_mm=12.7;width_in=7.5;finish=hand scraped;install=click
G0063,Engineered Hardwood,Glue Down Engineered,sq_ft,Glue Down Engineered - Alabaster red oak 2.0,62801,species=red oak;veneer_mm=2.0;thickness_mm=15.0;width_in=7.5;finish=wire brushed;install=glue
G0064,Engineered Hardwood,Click Engineered,sq_ft,Click Engineered - Dunmore walnut 4.0,57666,species=walnut;veneer_mm=4.0;thickness_mm=15.0;width_in=6.5;finish=wire brushed;install=glue
G0065,Solid Hardwood,Unfinished Solid,sq_ft,Unfinished Solid - Saxony birch 0.5,34431,species=birch;thickness_in=0.5;width_in=5;finish=unfinished;grade=rustic
G0066,Solid Hardwood,Prefinished Solid,sq_ft,Prefinished Solid - Nordic birch 0.5,37873,species=birch;thickness_in=0.5;width_in=5;finish=wire brushed;grade=character
G0067,Solid Hardwood,Prefinished Solid,sq_ft,Prefinished Solid - Tidewater white oak 0.5,37609,species=white oak;thickness_in=0.5;width_in=5;finish=smooth;grade=select
G0068,Solid Hardwood,Prefinished Solid,sq_ft,Prefinished Solid - Bergamo birch 0.5,33958,species=birch;thickness_in=0.5;width_in=3.25;finish=wire brushed;grade=rustic
G0069,Solid Hardwood,Prefinished Solid,sq_ft,Prefinished Solid - Meridian white oak 0.5,3821,species=white oak;thickness_in=0.5;width_in=3.25;finish=smooth;grade=select
G0070,Solid Hardwood,Unfinished Solid,sq_ft,Unfinished Solid - Quarry red oak 0.75,14857,species=red oak;thickness_in=0.75;width_in=2.25;finish=wire brushed;grade=select
G0071,Solid Hardwood,Unfinished Solid,sq_ft,Unfinished Solid - Meridian red oak 0.5,15455,species=red oak;thickness_in=0.5;width_in=5;finish=wire brushed;grade=select
G0072,Solid Hardwood,Unfinished Solid,sq_ft,Unfinished Solid - Nordic hickory 0.5,43831,species=hickory;thickness_in=0.5;width_in=2.25;finish=wire brushed;grade=select
G0073,Solid Hardwood,Prefinished Solid,sq_ft,Prefinished Solid - Cambridge maple 0.75,34840,species=maple;thickness_in=0.75;width_in=5;finish=unfinished;grade=select
G0074,Solid Hardwood,Prefinished Solid,sq_ft,Prefinished Solid - Yorkshire birch 0.75,13631,species=birch;thickness_in=0.75;width_in=5;finish=wire brushed;grade=select
G0075,Porcelain Tile,Outdoor Paver,sq_ft,Outdoor Paver - Bianco porcelain 12x12,35970,material=porcelain;size_in=12x12;pei_rating=4;finish_tile=polished;rectified=yes;look=marble;thickness_mm=10
G0076,Porcelain Tile,Outdoor Paver,sq_ft,Outdoor Paver - Stonehaven porcelain 12x12,105389,material=porcelain;size_in=12x12;pei_rating=5;finish_tile=matte;rectified=no;look=terrazzo;thickness_mm=20
G0077,Porcelain Tile,Concrete Look,sq_ft,Concrete Look - Tidewater porcelain 24x24,96069,material=porcelain;size_in=24x24;pei_rating=3;finish_tile=matte;rectified=no;look=marble;thickness_mm=10
G0078,Porcelain Tile,Marble Look,sq_ft,Marble Look - Bayside porcelain 12x12,81021,material=porcelain;size_in=12x12;pei_rating=4;finish_tile=polished;rectified=no;look=terrazzo;thickness_mm=9
G0079,Porcelain Tile,Outdoor Paver,sq_ft,Outdoor Paver - Maplewood porcelain 8x48,25412,material=porcelain;size_in=8x48;pei_rating=4;finish_tile=polished;rectified=yes;look=concrete;thickness_mm=20
G0080,Porcelain Tile,Concrete Look,sq_ft,Concrete Look - Blackwater porcelain 24x48,141764,material=porcelain;size_in=24x48;pei_rating=4;finish_tile=textured;rectified=yes;look=stone;thickness_mm=8
G0081,Porcelain Tile,Wood Look Plank,sq_ft,Wood Look Plank - Bayside porcelain 6x24,50412,material=porcelain;size_in=6x24;pei_rating=3;finish_tile=textured;rectified=no;look=stone;thickness_mm=10
G0082,Porcelain Tile,Marble Look,sq_ft,Marble Look - Bergamo porcelain 12x12,18352,material=porcelain;size_in=12x12;pei_rating=4;finish_tile=polished;rectified=yes;look=terrazzo;thickness_mm=8
G0083,Porcelain Tile,Outdoor Paver,sq_ft,Outdoor Paver - Thornbury porcelain 6x36,78094,material=porcelain;size_in=6x36;pei_rating=3;finish_tile=polished;rectified=yes;look=marble;thickness_mm=8
G0084,Porcelain Tile,Marble Look,sq_ft,Marble Look - Granite Peak porcelain 12x12,112291,material=porcelain;size_in=12x12;pei_rating=5;finish_tile=textured;rectified=no;look=stone;thickness_mm=8
G0085,Porcelain Tile,Wood Look Plank,sq_ft,Wood Look Plank - Ashford porcelain 8x48,108030,material=porcelain;size_in=8x48;pei_rating=3;finish_tile=textured;rectified=yes;look=marble;thickness_mm=20
G0086,Porcelain Tile,Wood Look Plank,sq_ft,Wood Look Plank - Quarry porcelain 6x24,114273,material=porcelain;size_in=6x24;pei_rating=5;finish_tile=matte;rectified=no;look=terrazzo;thickness_mm=8
G0087,Porcelain Tile,Outdoor Paver,sq_ft,Outdoor Paver - Ivory porcelain 24x24,68378,material=porcelain;size_in=24x24;pei_rating=3;finish_tile=matte;rectified=yes;look=stone;thickness_mm=9
G0088,Porcelain Tile,Large Format,sq_ft,Large Format - Sundance porcelain 24x48,37732,material=porcelain;size_in=24x48;pei_rating=5;finish_tile=textured;rectified=yes;look=wood;thickness_mm=10
G0089,Porcelain Tile,Outdoor Paver,sq_ft,Outdoor Paver - Quarry porcelain 6x36,90233,material=porcelain;size_in=6x36;pei_rating=3;finish_tile=polished;rectified=yes;look=concrete;thickness_mm=9
G0090,Porcelain Tile,Large Format,sq_ft,Large Format - Tidewater porcelain 24x48,20709,material=porcelain;size_in=24x48;pei_rating=5;finish_tile=textured;rectified=yes;look=stone;thickness_mm=10
G0091,Porcelain Tile,Marble Look,sq_ft,Marble Look - Sandstone porcelain 24x24,115842,material=porcelain;size_in=24x24;pei_rating=5;finish_tile=polished;rectified=no;look=stone;thickness_mm=20
G0092,Porcelain Tile,Outdoor Paver,sq_ft,Outdoor Paver - Whitewash porcelain 24x48,53286,material=porcelain;size_in=24x48;pei_rating=3;finish_tile=textured;rectified=no;look=marble;thickness_mm=8
G0093,Porcelain Tile,Concrete Look,sq_ft,Concrete Look - Bayside porcelain 12x24,89429,material=porcelain;size_in=12x24;pei_rating=4;finish_tile=matte;rectified=yes;look=wood;thickness_mm=8
G0094,Porcelain Tile,Outdoor Paver,sq_ft,Outdoor Paver - Thornbury porcelain 12x24,100140,material=porcelain;size_in=12x24;pei_rating=5;finish_tile=polished;rectified=yes;look=wood;thickness_mm=8
G0095,Porcelain Tile,Marble Look,sq_ft,Marble Look - Maplewood porcelain 12x12,115294,material=porcelain;size_in=12x12;pei_rating=5;finish_tile=matte;rectified=yes;look=concrete;thickness_mm=9
G0096,Porcelain Tile,Large Format,sq_ft,Large Format - Quarry porcelain 12x24,39440,material=porcelain;size_in=12x24;pei_rating=3;finish_tile=textured;rectified=no;look=terrazzo;thickness_mm=9
G0097,Porcelain Tile,Marble Look,sq_ft,Marble Look - Yorkshire porcelain 24x48,30584,material=porcelain;size_in=24x48;pei_rating=3;finish_tile=textured;rectified=no;look=marble;thickness_mm=10
G0098,Porcelain Tile,Large Format,sq_ft,Large Format - Windsor porcelain 24x24,30763,material=porcelain;size_in=24x24;pei_rating=3;finish_tile=matte;rectified=yes;look=marble;thickness_mm=9
G0099,Porcelain Tile,Marble Look,sq_ft,Marble Look - Maplewood porcelain 12x12,20183,material=porcelain;size_in=12x12;pei_rating=5;finish_tile=textured;rectified=yes;look=terrazzo;thickness_mm=9
G0100,Porcelain Tile,Large Format,sq_ft,Large Format - Blackwater porcelain 12x12,148412,material=porcelain;size_in=12x12;pei_rating=4;finish_tile=polished;rectified=no;look=concrete;thickness_mm=20
G0101,Ceramic Tile,Field Tile,sq_ft,Field Tile - Windsor ceramic 4x16,11366,material=ceramic;size_in=4x16;pei_rating=3;finish_tile=matte;look=wood
G0102,Ceramic Tile,Subway Tile,sq_ft,Subway Tile - Riverbend ceramic 4x12,127832,material=ceramic;size_in=4x12;pei_rating=1;finish_tile=glossy;look=wood
G0103,Ceramic Tile,Floor Ceramic,sq_ft,Floor Ceramic - Sterling ceramic 3x6,43525,material=ceramic;size_in=3x6;pei_rating=1;finish_tile=matte;look=stone
G0104,Ceramic Tile,Subway Tile,sq_ft,Subway Tile - Charcoal ceramic 3x6,100579,material=ceramic;size_in=3x6;pei_rating=2;finish_tile=glossy;look=solid
G0105,Ceramic Tile,Subway Tile,sq_ft,Subway Tile - Charcoal ceramic 3x6,147604,material=ceramic;size_in=3x6;pei_rating=3;finish_tile=crackle;look=solid
G0106,Ceramic Tile,Field Tile,sq_ft,Field Tile - Onyx ceramic 12x12,120062,material=ceramic;size_in=12x12;pei_rating=4;finish_tile=crackle;look=solid
G0107,Ceramic Tile,Field Tile,sq_ft,Field Tile - Bayside ceramic 12x12,54136,material=ceramic;size_in=12x12;pei_rating=4;finish_tile=crackle;look=solid
G0108,Ceramic Tile,Floor Ceramic,sq_ft,Floor Ceramic - Juniper ceramic 6x24,83668,material=ceramic;size_in=6x24;pei_rating=4;finish_tile=matte;look=wood
G0109,Ceramic Tile,Floor Ceramic,sq_ft,Floor Ceramic - Fieldstone ceramic 12x12,119389,material=ceramic;size_in=12x12;pei_rating=1;finish_tile=glossy;look=stone
G0110,Ceramic Tile,Field Tile,sq_ft,Field Tile - Quarry ceramic 6x24,69662,material=ceramic;size_in=6x24;pei_rating=3;finish_tile=glossy;look=stone
G0111,Ceramic Tile,Subway Tile,sq_ft,Subway Tile - Chelsea ceramic 12x12,117796,material=ceramic;size_in=12x12;pei_rating=3;finish_tile=matte;look=wood
G0112,Ceramic Tile,Field Tile,sq_ft,Field Tile - Coastal Grey ceramic 4x16,149603,material=ceramic;size_in=4x16;pei_rating=1;finish_tile=crackle;look=wood
G0113,Ceramic Tile,Floor Ceramic,sq_ft,Floor Ceramic - Redmond ceramic 12x12,129225,material=ceramic;size_in=12x12;pei_rating=1;finish_tile=matte;look=solid
G0114,Ceramic Tile,Floor Ceramic,sq_ft,Floor Ceramic - Meridian ceramic 4x12,48988,material=ceramic;size_in=4x12;pei_rating=4;finish_tile=glossy;look=solid
G0115,Natural Stone Tile,Slate,sq_ft,Slate - Onyx travertine 12x12,5038,material=travertine;size_in=12x12;finish_tile=honed;stone_grade=standard;thickness_mm=10
G0116,Natural Stone Tile,Marble,sq_ft,Marble - Harbor Oak slate 18x18,34722,material=slate;size_in=18x18;finish_tile=brushed;stone_grade=premium;thickness_mm=15
G0117,Natural Stone Tile,Travertine,sq_ft,Travertine - Vintage Elm limestone 18x18,28339,material=limestone;size_in=18x18;finish_tile=polished;stone_grade=commercial;thickness_mm=10
G0118,Natural Stone Tile,Marble,sq_ft,Marble - Cambridge quartzite 16x16,14599,material=quartzite;size_in=16x16;finish_tile=brushed;stone_grade=premium;thickness_mm=10
G0119,Natural Stone Tile,Quartzite,sq_ft,Quartzite - Sundance travertine 6x12,16421,material=travertine;size_in=6x12;finish_tile=polished;stone_grade=commercial;thickness_mm=10
G0120,Natural Stone Tile,Slate,sq_ft,Slate - Harbor Oak slate 12x12,22974,material=slate;size_in=12x12;finish_tile=honed;stone_grade=premium;thickness_mm=10
G0121,Natural Stone Tile,Travertine,sq_ft,Travertine - Stonehaven limestone 16x16,35877,material=limestone;size_in=16x16;finish_tile=polished;stone_grade=premium;thickness_mm=10
G0122,Natural Stone Tile,Travertine,sq_ft,Travertine - Dunmore travertine 12x12,14379,material=travertine;size_in=12x12;finish_tile=brushed;stone_grade=premium;thickness_mm=15
G0123,Natural Stone Tile,Travertine,sq_ft,Travertine - Umber slate 6x12,18612,material=slate;size_in=6x12;finish_tile=polished;stone_grade=premium;thickness_mm=10
G0124,Natural Stone Tile,Travertine,sq_ft,Travertine - Sterling travertine 12x24,38993,material=travertine;size_in=12x24;finish_tile=polished;stone_grade=standard;thickness_mm=10
G0125,Natural Stone Tile,Limestone,sq_ft,Limestone - Dunmore travertine 12x24,33636,material=travertine;size_in=12x24;finish_tile=tumbled;stone_grade=standard;thickness_mm=12
G0126,Natural Stone Tile,Slate,sq_ft,Slate - Thornbury travertine 12x24,33404,material=travertine;size_in=12x24;finish_tile=polished;stone_grade=standard;thickness_mm=12
G0127,Mosaic & Decorative Tile,Decorative Accent,sq_ft,Decorative Accent - Alabaster marble hexagon,2066,material=marble;pattern=hexagon;chip_size=1x1;finish_tile=matte;size_in=11.8x11.8
G0128,Mosaic & Decorative Tile,Stone Mosaic,sq_ft,Stone Mosaic - Thornbury marble subway,4549,material=marble;pattern=subway;chip_size=1x3;finish_tile=polished;size_in=12x13
G0129,Mosaic & Decorative Tile,Decorative Accent,sq_ft,Decorative Accent - Oakmont marble picket,3812,material=marble;pattern=picket;chip_size=1x3;finish_tile=honed;size_in=11.8x11.8
G0130,Mosaic & Decorative Tile,Stone Mosaic,sq_ft,Stone Mosaic - Riverbend porcelain subway,5055,material=porcelain;pattern=subway;chip_size=1x3;finish_tile=matte;size_in=12x13
G0131,Mosaic & Decorative Tile,Decorative Accent,sq_ft,Decorative Accent - Nordic marble hexagon,2762,material=marble;pattern=hexagon;chip_size=mixed;finish_tile=polished;size_in=11.8x11.8
G0132,Mosaic & Decorative Tile,Porcelain Mosaic,sq_ft,Porcelain Mosaic - Millbrook glass penny round,1927,material=glass;pattern=penny round;chip_size=1x1;finish_tile=honed;size_in=12x13
