group_id,category,subcategory,description,basis,annual_volume,fnd_unit_price,home_depot_unit_price,home_depot_delta_pct,home_depot_match_tier,lowes_unit_price,lowes_delta_pct,lowes_match_tier,menards_unit_price,menards_delta_pct,menards_match_tier,tile_shop_unit_price,tile_shop_delta_pct,tile_shop_match_tier,market_min,gap_vs_market_min,outcome,cheapest_retailer,flags
G0038,Laminate,Waterproof Laminate,Waterproof Laminate - Cedar Point 4 12,sq_ft,18181.0,2.39,2.6355,0.1027,equivalent,2.59,0.0837,equivalent,2.8878,0.2083,equivalent,,,none,2.59,-0.0772,win,floor_and_decor,no_competitor_offer:tile_shop
G0039,Laminate,Water Resistant Laminate,Water Resistant Laminate - Windsor 5 10,sq_ft,70810.0,1.89,2.09,0.1058,equivalent,2.1612,0.1435,equivalent,2.39,0.2646,equivalent,,,none,2.09,-0.0957,win,floor_and_decor,no_competitor_offer:tile_shop
G0040,Laminate,Waterproof Laminate,Waterproof Laminate - Coastal Grey 5 12,sq_ft,18195.0,3.39,3.5505,0.0473,exact,3.49,0.0295,exact,2.8591,-0.1566,exact,,,none,3.49,-0.0287,win,floor_and_decor,competitor_out_of_stock:menards;no_competitor_offer:tile_shop
G0041,Laminate,Waterproof Laminate,Waterproof Laminate - Chelsea 4 7,sq_ft,33774.0,1.29,1.49,0.155,equivalent,1.338,0.0372,equivalent,1.28,-0.0078,equivalent,,,none,1.338,-0.0359,win,floor_and_decor,competitor_out_of_stock:menards;no_competitor_offer:tile_shop
G0042,Laminate,Waterproof Laminate,Waterproof Laminate - Willow Bend 4 7,sq_ft,42624.0,2.29,2.4516,0.0706,equivalent,2.79,0.2183,equivalent,2.89,0.262,equivalent,,,none,2.4516,-0.0659,win,floor_and_decor,no_competitor_offer:tile_shop
G0043,Laminate,Waterproof Laminate,Waterproof Laminate - Willow Bend 5 8,sq_ft,113014.0,3.39,,,none,3.59,0.059,equivalent,4.1082,0.2119,equivalent,,,none,3.59,-0.0557,win,floor_and_decor,no_competitor_offer:home_depot;no_competitor_offer:tile_shop
G0044,Laminate,Water Resistant Laminate,Water Resistant Laminate - Carrara 4 12,sq_ft,40708.0,2.59,3.19,0.2317,equivalent,2.9599,0.1428,equivalent,2.9955,0.1566,close,,,none,2.9599,-0.125,win,floor_and_decor,competitor_out_of_stock:menards;no_competitor_offer:tile_shop
G0045,Laminate,Water Resistant Laminate,Water Resistant Laminate - Barnwood 4 12,sq_ft,106096.0,2.19,2.39,0.0913,exact,2.29,0.0457,exact,,,none,,,none,2.29,-0.0437,win,floor_and_decor,no_competitor_offer:menards;no_competitor_offer:tile_shop
G0046,Laminate,Standard Laminate,Standard Laminate - Whitewash 3 12,sq_ft,29385.0,2.19,2.59,0.1826,exact,2.5538,0.1661,exact,2.49,0.137,exact,,,none,2.49,-0.1205,win,floor_and_decor,no_competitor_offer:tile_shop
G0047,Laminate,Water Resistant Laminate,Water Resistant Laminate - Sterling 3 10,sq_ft,159396.0,3.49,4.2201,0.2092,equivalent,3.9862,0.1422,close,3.69,0.0573,equivalent,,,none,3.69,-0.0542,win,floor_and_decor,no_competitor_offer:tile_shop
G0048,Laminate,Water Resistant Laminate,Water Resistant Laminate - Charcoal 3 10,sq_ft,132972.0,2.29,2.69,0.1747,equivalent,2.359,0.0301,equivalent,2.39,0.0437,equivalent,,,none,2.359,-0.0292,win,floor_and_decor,no_competitor_offer:tile_shop
G0049,Engineered Hardwood,Click Engineered,Click Engineered - Copperfield white oak 3.0,sq_ft,48288.0,6.49,7.99,0.2311,equivalent,6.89,0.0616,close,7.5502,0.1634,equivalent,,,none,6.89,-0.0581,win,floor_and_decor,no_competitor_offer:tile_shop
G0050,Engineered Hardwood,Glue Down Engineered,Glue Down Engineered - Cedar Point birch 4.0,sq_ft,57976.0,3.09,3.6849,0.1925,exact,4.49,0.4531,exact,3.2928,0.0656,exact,,,none,3.2928,-0.0616,win,floor_and_decor,extreme_gap:lowes;no_competitor_offer:tile_shop
G0051,Engineered Hardwood,Wide Plank Engineered,Wide Plank Engineered - Windsor white oak 3.0,sq_ft,7683.0,4.49,5.29,0.1782,equivalent,4.09,-0.0891,close,5.4937,0.2235,close,,,none,4.09,0.0978,loss,lowes,competitor_out_of_stock:menards;no_competitor_offer:tile_shop;promo_driven_gap:lowes
G0052,Engineered Hardwood,Wide Plank Engineered,Wide Plank Engineered - Ivory hickory 2.0,sq_ft,62688.0,5.39,6.6257,0.2293,close,5.7464,0.0661,equivalent,6.59,0.2226,equivalent,,,none,6.59,-0.1821,win,floor_and_decor,competitor_out_of_stock:lowes;no_competitor_offer:tile_shop
G0053,Engineered Hardwood,Wide Plank Engineered,Wide Plank Engineered - Windsor red oak 3.0,sq_ft,27903.0,3.89,5.29,0.3599,close,5.09,0.3085,equivalent,4.3438,0.1167,close,,,none,4.3438,-0.1045,win,floor_and_decor,competitor_out_of_stock:home_depot;no_competitor_offer:tile_shop
G0054,Engineered Hardwood,Wide Plank Engineered,Wide Plank Engineered - Greystone birch 3.0,sq_ft,55125.0,2.79,4.1261,0.4789,equivalent,4.0684,0.4582,equivalent,4.2563,0.5256,equivalent,,,none,4.0684,-0.3142,win,floor_and_decor,extreme_gap:home_depot;extreme_gap:lowes;extreme_gap:menards;no_competitor_offer:tile_shop
G0055,Engineered Hardwood,Wide Plank Engineered,Wide Plank Engineered - Autumn Hollow red oak 4.0,sq_ft,46645.0,4.29,4.89,0.1399,equivalent,5.4765,0.2766,equivalent,5.0585,0.1791,equivalent,,,none,4.89,-0.1227,win,floor_and_decor,no_competitor_offer:tile_shop
G0056,Engineered Hardwood,Wide Plank Engineered,Wide Plank Engineered - Sandstone hickory 0.6,sq_ft,40648.0,8.89,10.6753,0.2008,equivalent,10.7889,0.2136,equivalent,10.98,0.2351,equivalent,,,none,10.6753,-0.1672,win,floor_and_decor,no_competitor_offer:tile_shop
G0057,Engineered Hardwood,Click Engineered,Click Engineered - Millbrook birch 2.0,sq_ft,37319.0,4.19,4.49,0.0716,close,5.49,0.3103,equivalent,4.39,0.0477,equivalent,,,none,4.39,-0.0456,win,floor_and_decor,no_competitor_offer:tile_shop
G0058,Engineered Hardwood,Glue Down Engineered,Glue Down Engineered - Calacatta white oak 2.0,sq_ft,52835.0,4.29,5.3984,0.2584,equivalent,5.49,0.2797,close,5.3109,0.238,close,,,none,5.3109,-0.1922,win,floor_and_decor,competitor_out_of_stock:home_depot;no_competitor_offer:tile_shop
G0059,Engineered Hardwood,Click Engineered,Click Engineered - Cambridge birch 3.0,sq_ft,59690.0,6.99,7.29,0.0429,exact,7.2841,0.0421,exact,7.6621,0.0962,exact,,,none,7.2841,-0.0404,win,floor_and_decor,no_competitor_offer:tile_shop
G0060,Engineered Hardwood,Click Engineered,Click Engineered - Havana birch 3.0,sq_ft,61722.0,7.59,9.49,0.2503,equivalent,8.8674,0.1683,equivalent,9.3919,0.2374,equivalent,,,none,8.8674,-0.1441,win,floor_and_decor,competitor_out_of_stock:home_depot;no_competitor_offer:tile_shop
G0061,Engineered Hardwood,Wide Plank Engineered,Wide Plank Engineered - Amber Ridge birch 0.6,sq_ft,10213.0,6.59,,,none,8.39,0.2731,equivalent,7.09,0.0759,equivalent,,,none,7.09,-0.0705,win,floor_and_decor,no_competitor_offer:home_depot;no_competitor_offer:tile_shop
G0062,Engineered Hardwood,Glue Down Engineered,Glue Down Engineered - Copperfield walnut 0.6,sq_ft,54920.0,5.79,6.2186,0.074,equivalent,7.0036,0.2096,equivalent,7.2806,0.2574,equivalent,,,none,6.2186,-0.0689,win,floor_and_decor,competitor_out_of_stock:lowes;no_competitor_offer:tile_shop
G0063,Engineered Hardwood,Glue Down Engineered,Glue Down Engineered - Alabaster red oak 2.0,sq_ft,62801.0,7.49,8.2377,0.0998,equivalent,7.9008,0.0548,equivalent,8.79,0.1736,equivalent,,,none,7.9008,-0.052,win,floor_and_decor,no_competitor_offer:tile_shop
G0064,Engineered Hardwood,Click Engineered,Click Engineered - Dunmore walnut 4.0,sq_ft,57666.0,4.99,3.99,-0.2004,exact,5.09,0.02,exact,5.09,0.02,exact,,,none,3.99,0.2506,loss,home_depot,no_competitor_offer:tile_shop;promo_driven_gap:home_depot
G0065,Solid Hardwood,Unfinished Solid,Unfinished Solid - Saxony birch 0.5,sq_ft,34431.0,6.99,8.0672,0.1541,equivalent,5.99,-0.1431,equivalent,8.1822,0.1706,equivalent,,,none,5.99,0.1669,loss,lowes,no_competitor_offer:tile_shop;promo_driven_gap:lowes
G0066,Solid Hardwood,Prefinished Solid,Prefinished Solid - Nordic birch 0.5,sq_ft,37873.0,5.49,6.4321,0.1716,equivalent,,,none,6.79,0.2368,equivalent,,,none,6.4321,-0.1465,win,floor_and_decor,no_competitor_offer:lowes;no_competitor_offer:tile_shop
G0067,Solid Hardwood,Prefinished Solid,Prefinished Solid - Tidewater white oak 0.5,sq_ft,37609.0,8.19,10.98,0.3407,exact,9.49,0.1587,exact,8.99,0.0977,exact,,,none,8.99,-0.089,win,floor_and_decor,no_competitor_offer:tile_shop
G0068,Solid Hardwood,Prefinished Solid,Prefinished Solid - Bergamo birch 0.5,sq_ft,33958.0,7.99,9.7336,0.2182,equivalent,9.69,0.2128,close,9.39,0.1752,equivalent,,,none,9.39,-0.1491,win,floor_and_decor,no_competitor_offer:tile_shop
G0069,Solid Hardwood,Prefinished Solid,Prefinished Solid - Meridian white oak 0.5,sq_ft,3821.0,3.69,4.0677,0.1024,exact,3.69,0.0,exact,3.99,0.0813,exact,,,none,3.69,0.0,tie,floor_and_decor,no_competitor_offer:tile_shop;promo_driven_gap:lowes
G0070,Solid Hardwood,Unfinished Solid,Unfinished Solid - Quarry red oak 0.75,sq_ft,14857.0,7.19,8.3483,0.1611,equivalent,8.59,0.1947,equivalent,8.59,0.1947,equivalent,,,none,8.3483,-0.1387,win,floor_and_decor,no_competitor_offer:tile_shop
G0071,Solid Hardwood,Unfinished Solid,Unfinished Solid - Meridian red oak 0.5,sq_ft,15455.0,6.49,9.39,0.4468,equivalent,9.19,0.416,close,6.3082,-0.028,equivalent,,,none,6.3082,0.0288,loss,menards,extreme_gap:home_depot;extreme_gap:lowes;no_competitor_offer:tile_shop;promo_driven_gap:menards
G0072,Solid Hardwood,Unfinished Solid,Unfinished Solid - Nordic hickory 0.5,sq_ft,43831.0,6.19,7.8793,0.2729,equivalent,7.29,0.1777,equivalent,6.49,0.0485,equivalent,,,none,6.49,-0.0462,win,floor_and_decor,competitor_out_of_stock:lowes;no_competitor_offer:tile_shop
G0073,Solid Hardwood,Prefinished Solid,Prefinished Solid - Cambridge maple 0.75,sq_ft,34840.0,3.89,4.4385,0.141,close,4.19,0.0771,equivalent,3.69,-0.0514,equivalent,,,none,3.69,0.0542,loss,menards,no_competitor_offer:tile_shop;promo_driven_gap:menards
G0074,Solid Hardwood,Prefinished Solid,Prefinished Solid - Yorkshire birch 0.75,sq_ft,13631.0,4.79,5.4169,0.1309,close,5.59,0.167,equivalent,5.1653,0.0784,equivalent,,,none,5.1653,-0.0727,win,floor_and_decor,no_competitor_offer:tile_shop
G0075,Porcelain Tile,Outdoor Paver,Outdoor Paver - Bianco porcelain 12x12,sq_ft,35970.0,1.69,1.99,0.1775,equivalent,1.79,0.0592,equivalent,1.6016,-0.0523,equivalent,2.19,0.2959,equivalent,1.6016,0.0552,loss,menards,promo_driven_gap:menards
G0076,Porcelain Tile,Outdoor Paver,Outdoor Paver - Stonehaven porcelain 12x12,sq_ft,105389.0,3.69,4.49,0.2168,equivalent,4.39,0.1897,equivalent,4.9337,0.337,equivalent,5.19,0.4065,equivalent,4.39,-0.1595,win,floor_and_decor,extreme_gap:tile_shop
G0077,Porcelain Tile,Concrete Look,Concrete Look - Tidewater porcelain 24x24,sq_ft,96069.0,2.09,2.6102,0.2489,equivalent,2.49,0.1914,equivalent,2.29,0.0957,equivalent,2.3475,0.1232,equivalent,2.29,-0.0873,win,floor_and_decor,
G0078,Porcelain Tile,Marble Look,Marble Look - Bayside porcelain 12x12,sq_ft,81021.0,1.89,2.19,0.1587,equivalent,2.39,0.2646,equivalent,1.99,0.0529,equivalent,,,none,2.39,-0.2092,win,floor_and_decor,competitor_out_of_stock:home_depot;competitor_out_of_stock:menards;no_competitor_offer:tile_shop
G0079,Porcelain Tile,Outdoor Paver,Outdoor Paver - Maplewood porcelain 8x48,sq_ft,25412.0,3.99,4.5826,0.1485,exact,4.4962,0.1269,exact,,,none,4.29,0.0752,exact,4.29,-0.0699,win,floor_and_decor,no_competitor_offer:menards
G0080,Porcelain Tile,Concrete Look,Concrete Look - Blackwater porcelain 24x48,sq_ft,141764.0,3.79,4.19,0.1055,equivalent,4.59,0.2111,equivalent,4.4543,0.1753,equivalent,5.09,0.343,equivalent,4.19,-0.0955,win,floor_and_decor,
G0081,Porcelain Tile,Wood Look Plank,Wood Look Plank - Bayside porcelain 6x24,sq_ft,50412.0,2.19,2.39,0.0913,exact,2.49,0.137,exact,2.39,0.0913,exact,2.39,0.0913,exact,2.39,-0.0837,win,floor_and_decor,
G0082,Porcelain Tile,Marble Look,Marble Look - Bergamo porcelain 12x12,sq_ft,18352.0,3.09,3.49,0.1294,equivalent,2.79,-0.0971,equivalent,3.4904,0.1296,equivalent,4.19,0.356,equivalent,3.49,-0.1146,win,floor_and_decor,competitor_out_of_stock:lowes
G0083,Porcelain Tile,Outdoor Paver,Outdoor Paver - Thornbury porcelain 6x36,sq_ft,78094.0,2.49,3.39,0.3614,equivalent,,,none,2.9349,0.1787,equivalent,3.29,0.3213,equivalent,2.9349,-0.1516,win,floor_and_decor,no_competitor_offer:lowes
G0084,Porcelain Tile,Marble Look,Marble Look - Granite Peak porcelain 12x12,sq_ft,112291.0,4.69,5.19,0.1066,exact,5.19,0.1066,exact,4.8178,0.0272,exact,5.29,0.1279,exact,4.8178,-0.0265,win,floor_and_decor,
G0085,Porcelain Tile,Wood Look Plank,Wood Look Plank - Ashford porcelain 8x48,sq_ft,108030.0,4.29,4.2124,-0.0181,close,5.6174,0.3094,close,5.69,0.3263,equivalent,5.49,0.2797,equivalent,5.49,-0.2186,win,floor_and_decor,competitor_out_of_stock:home_depot
G0086,Porcelain Tile,Wood Look Plank,Wood Look Plank - Quarry porcelain 6x24,sq_ft,114273.0,3.69,3.89,0.0542,exact,3.69,0.0,exact,4.0113,0.0871,exact,4.09,0.1084,exact,3.89,-0.0514,win,floor_and_decor,competitor_out_of_stock:lowes
G0087,Porcelain Tile,Outdoor Paver,Outdoor Paver - Ivory porcelain 24x24,sq_ft,68378.0,2.59,3.4248,0.3223,equivalent,2.89,0.1158,equivalent,3.39,0.3089,equivalent,3.19,0.2317,equivalent,3.19,-0.1881,win,floor_and_decor,competitor_out_of_stock:lowes;competitor_out_of_stock:menards
G0088,Porcelain Tile,Large Format,Large Format - Sundance porcelain 24x48,sq_ft,37732.0,5.59,7.09,0.2683,equivalent,,,none,,,none,7.19,0.2862,equivalent,7.09,-0.2116,win,floor_and_decor,no_competitor_offer:lowes;no_competitor_offer:menards
G0089,Porcelain Tile,Outdoor Paver,Outdoor Paver - Quarry porcelain 6x36,sq_ft,90233.0,1.79,1.99,0.1117,equivalent,2.19,0.2235,equivalent,1.9537,0.0915,equivalent,2.39,0.3352,close,1.9537,-0.0838,win,floor_and_decor,competitor_out_of_stock:lowes;competitor_out_of_stock:tile_shop
G0090,Porcelain Tile,Large Format,Large Format - Tidewater porcelain 24x48,sq_ft,20709.0,2.99,2.7211,-0.0899,equivalent,3.4987,0.1701,equivalent,3.69,0.2341,equivalent,3.79,0.2676,equivalent,2.7211,0.0988,loss,home_depot,promo_driven_gap:home_depot
G0091,Porcelain Tile,Marble Look,Marble Look - Sandstone porcelain 24x24,sq_ft,115842.0,3.89,4.1973,0.079,exact,4.39,0.1285,exact,4.1545,0.068,exact,,,none,4.1545,-0.0637,win,floor_and_decor,competitor_out_of_stock:lowes;no_competitor_offer:tile_shop
G0092,Porcelain Tile,Outdoor Paver,Outdoor Paver - Whitewash porcelain 24x48,sq_ft,53286.0,1.89,2.9192,0.5446,equivalent,2.2487,0.1898,equivalent,2.49,0.3175,equivalent,2.49,0.3175,equivalent,2.2487,-0.1595,win,floor_and_decor,extreme_gap:home_depot
