group_id,category,subcategory,description,basis,annual_volume,fnd_brand,fnd_sku,fnd_price_as_quoted,fnd_uom,fnd_pack_coverage,fnd_promo_price,fnd_unit_price,fnd_match_tier,fnd_in_stock,fnd_counted,hd_brand,hd_sku,hd_price_as_quoted,hd_uom,hd_pack_coverage,hd_promo_price,hd_unit_price,hd_match_tier,hd_in_stock,hd_counted,lw_brand,lw_sku,lw_price_as_quoted,lw_uom,lw_pack_coverage,lw_promo_price,lw_unit_price,lw_match_tier,lw_in_stock,lw_counted,mnd_brand,mnd_sku,mnd_price_as_quoted,mnd_uom,mnd_pack_coverage,mnd_promo_price,mnd_unit_price,mnd_match_tier,mnd_in_stock,mnd_counted,tsh_brand,tsh_sku,tsh_price_as_quoted,tsh_uom,tsh_pack_coverage,tsh_promo_price,tsh_unit_price,tsh_match_tier,tsh_in_stock,tsh_counted,market_min,gap_vs_market_min,outcome,cheapest_retailer
G0011,Luxury Vinyl Plank,SPC Rigid Core,SPC Rigid Core - Harbor Oak WPC 12,sq_ft,163958.0,DuraLux,FLO-938573,2.59,per_sq_ft,,,2.59,base,yes,yes,Home Decorators Collection,HOM-482875,55.99,per_box,20.21,,2.7704,equivalent,yes,yes,Origin 21,LOW-311085,58.97,per_case,21.41,,2.7543,equivalent,yes,yes,Patrician,MEN-610609,57.98,per_box,18.57,,3.1222,equivalent,yes,yes,Superior,TIL-111124,93.97,per_case,25.9,,3.6282,equivalent,no,no,2.7543,-0.0597,win,floor_and_decor
G0012,Luxury Vinyl Plank,Waterproof LVP,Waterproof LVP - Zermatt rigid core 12,sq_ft,192148.0,DuraLux,FLO-236422,3.19,per_sq_ft,,,3.19,base,yes,yes,Home Decorators Collection,HOM-417607,3.39,per_sq_ft,,,3.39,equivalent,yes,yes,SMARTCORE,LOW-339933,3.79,per_sq_ft,,,3.79,equivalent,yes,yes,Patrician,MEN-437548,71.99,per_box,18.92,,3.805,equivalent,yes,yes,Superior,TIL-744806,3.79,per_sq_ft,,,3.79,equivalent,yes,yes,3.39,-0.059,win,floor_and_decor
G0013,Luxury Vinyl Plank,SPC Rigid Core,SPC Rigid Core - Umber rigid core 22,sq_ft,54349.0,AquaGuard,FLO-932397,2.09,per_sq_ft,,,2.09,base,yes,yes,TrafficMaster,HOM-809247,49.99,per_box,20.09,,2.4883,equivalent,yes,yes,Origin 21,LOW-382000,2.39,per_sq_ft,,,2.39,equivalent,yes,yes,Tuscany,MEN-148538,50.98,per_box,21.37,,2.3856,equivalent,yes,yes,Superior,TIL-303359,63.97,per_case,23.2,,2.7573,close,yes,yes,2.3856,-0.1239,win,floor_and_decor
G0014,Luxury Vinyl Plank,SPC Rigid Core,SPC Rigid Core - Thornbury WPC 20,sq_ft,192652.0,Pergo,FLO-369946,4.69,per_sq_ft,,,4.69,base,yes,yes,Pergo,HOM-740249,90.97,per_box,18.39,,4.9467,exact,yes,yes,Pergo,LOW-651458,88.97,per_case,18.14,,4.9046,exact,yes,yes,Pergo,MEN-635462,109.98,per_box,24.01,,4.5806,exact,yes,yes,,,,,,,,not carried,,no,4.5806,0.0239,loss,menards
G0015,Luxury Vinyl Plank,Glue Down LVP,Glue Down LVP - Blackwater rigid core 6,sq_ft,211980.0,AquaGuard,FLO-175634,4.29,per_sq_ft,,,4.29,base,yes,yes,LifeProof,HOM-544867,104.98,per_box,22.88,,4.5883,equivalent,yes,yes,Style Selections,LOW-934709,4.99,per_sq_ft,,,4.99,equivalent,no,no,,,,,,,,not carried,,no,,,,,,,,not carried,,no,4.5883,-0.065,win,floor_and_decor
G0016,Luxury Vinyl Plank,Waterproof LVP,Waterproof LVP - Maplewood rigid core 22,sq_ft,203747.0,AquaGuard,FLO-336394,4.39,per_sq_ft,,,4.39,base,yes,yes,TrafficMaster,HOM-146833,124.98,per_box,22.22,,5.6247,equivalent,yes,yes,SMARTCORE,LOW-386479,5.39,per_sq_ft,,4.09,4.09,equivalent,yes,yes,Dakota,MEN-540878,129.98,per_box,26.78,99.98,3.7334,equivalent,yes,yes,Marmi,TIL-629610,104.98,per_case,20.1,85.99,4.2781,equivalent,yes,yes,3.7334,0.1759,loss,menards
G0017,Luxury Vinyl Plank,SPC Rigid Core,SPC Rigid Core - Oakmont WPC 6,sq_ft,64460.0,DuraLux,FLO-842833,3.29,per_sq_ft,,,3.29,base,yes,yes,TrafficMaster,HOM-480556,4.19,per_sq_ft,,,4.19,equivalent,yes,yes,Style Selections,LOW-180288,95.98,per_case,22.94,,4.184,equivalent,yes,yes,Masterforce,MEN-890577,3.49,per_sq_ft,,2.99,2.99,equivalent,no,no,Rush River,TIL-459191,104.98,per_case,27.31,81.97,3.0015,equivalent,yes,yes,3.0015,0.0961,loss,tile_shop
G0018,Luxury Vinyl Plank,Waterproof LVP,Waterproof LVP - Pembroke SPC 22,sq_ft,19092.0,Shaw,FLO-147780,3.69,per_sq_ft,,,3.69,base,yes,yes,Shaw,HOM-934738,94.98,per_box,22.96,,4.1368,exact,no,no,Shaw,LOW-208649,3.89,per_sq_ft,,,3.89,exact,yes,yes,Shaw,MEN-166420,3.99,per_sq_ft,,,3.99,exact,yes,yes,Shaw,TIL-878691,4.29,per_sq_ft,,,4.29,exact,yes,yes,3.89,-0.0514,win,floor_and_decor
G0019,Luxury Vinyl Plank,SPC Rigid Core,SPC Rigid Core - Sierra WPC 12,sq_ft,246749.0,DuraLux,FLO-567657,2.79,per_sq_ft,,,2.79,base,yes,yes,TrafficMaster,HOM-218132,3.09,per_sq_ft,,2.59,2.59,equivalent,yes,yes,Origin 21,LOW-951132,2.99,per_sq_ft,,,2.99,equivalent,yes,yes,Dakota,MEN-744501,3.09,per_sq_ft,,,3.09,equivalent,yes,yes,Superior,TIL-580645,64.99,per_case,18.49,,3.5149,equivalent,yes,yes,2.59,0.0772,loss,home_depot
G0020,Luxury Vinyl Plank,Glue Down LVP,Glue Down LVP - Bianco rigid core 22,sq_ft,205990.0,COREtec,FLO-505367,3.29,per_sq_ft,,,3.29,base,yes,yes,COREtec,HOM-894445,3.39,per_sq_ft,,,3.39,exact,yes,yes,COREtec,LOW-845241,68.98,per_case,19.54,,3.5302,exact,yes,yes,COREtec,MEN-874345,3.49,per_sq_ft,,,3.49,exact,yes,yes,COREtec,TIL-523814,92.99,per_case,25.72,,3.6155,exact,yes,yes,3.39,-0.0295,win,floor_and_decor
G0021,Luxury Vinyl Plank,WPC Rigid Core,WPC Rigid Core - Espresso SPC 12,sq_ft,156612.0,NuCore,FLO-821638,4.29,per_sq_ft,,3.99,3.99,base,yes,yes,TrafficMaster,HOM-545457,4.59,per_sq_ft,,,4.59,equivalent,yes,yes,Style Selections,LOW-373026,4.79,per_sq_ft,,,4.79,equivalent,yes,yes,Masterforce,MEN-154810,4.89,per_sq_ft,,4.09,4.09,equivalent,yes,yes,Kismet,TIL-664745,5.89,per_sq_ft,,,5.89,equivalent,yes,yes,4.09,-0.0244,win,floor_and_decor
G0022,Luxury Vinyl Plank,WPC Rigid Core,WPC Rigid Core - Yorkshire rigid core 6,sq_ft,177638.0,NuCore,FLO-415562,2.49,per_sq_ft,,,2.49,base,yes,yes,TrafficMaster,HOM-875916,51.99,per_box,19.32,,2.691,equivalent,yes,yes,SMARTCORE,LOW-675999,57.98,per_case,20.44,50.98,2.4941,equivalent,yes,yes,Tuscany,MEN-238884,61.99,per_box,20.69,,2.9961,equivalent,yes,yes,Superior,TIL-347696,52.98,per_case,17.71,45.97,2.5957,equivalent,yes,yes,2.4941,-0.0016,tie,floor_and_decor
G0023,Luxury Vinyl Plank,Glue Down LVP,Glue Down LVP - Coastal Grey WPC 6,sq_ft,64412.0,NuCore,FLO-618502,4.79,per_sq_ft,,,4.79,base,yes,yes,TrafficMaster,HOM-817003,5.99,per_sq_ft,,4.69,4.69,equivalent,yes,yes,Origin 21,LOW-311904,87.98,per_case,16.62,,5.2936,equivalent,yes,yes,Dakota,MEN-809181,6.19,per_sq_ft,,4.79,4.79,equivalent,yes,yes,Marmi,TIL-567110,98.98,per_case,16.73,,5.9163,equivalent,yes,yes,4.69,0.0213,loss,home_depot
G0024,Luxury Vinyl Plank,Waterproof LVP,Waterproof LVP - Kingsport SPC 12,sq_ft,152137.0,DuraLux,FLO-268494,4.49,per_sq_ft,,,4.49,base,yes,yes,LifeProof,HOM-661867,5.09,per_sq_ft,,4.19,4.19,equivalent,yes,yes,Origin 21,LOW-931578,109.98,per_case,21.51,,5.113,close,yes,yes,Dakota,MEN-360245,139.98,per_box,29.65,,4.7211,equivalent,yes,yes,Superior,TIL-246363,5.79,per_sq_ft,,,5.79,equivalent,yes,yes,4.19,0.0716,loss,home_depot
G0025,Luxury Vinyl Plank,WPC Rigid Core,WPC Rigid Core - Bergamo WPC 28,sq_ft,247080.0,DuraLux,FLO-563704,2.89,per_sq_ft,,,2.89,base,yes,yes,Home Decorators Collection,HOM-353798,3.19,per_sq_ft,,,3.19,equivalent,yes,yes,Style Selections,LOW-493622,54.97,per_case,17.25,47.99,2.782,equivalent,yes,yes,Dakota,MEN-415242,3.29,per_sq_ft,,,3.29,equivalent,yes,yes,Marmi,TIL-999769,3.69,per_sq_ft,,,3.69,equivalent,yes,yes,2.782,0.0388,loss,lowes
G0026,Luxury Vinyl Plank,Glue Down LVP,Glue Down LVP - Fieldstone WPC 20,sq_ft,240188.0,NuCore,FLO-441179,4.99,per_sq_ft,,3.79,3.79,base,yes,yes,TrafficMaster,HOM-270497,114.98,per_box,22.27,,5.163,equivalent,yes,yes,Origin 21,LOW-453958,5.49,per_sq_ft,,,5.49,equivalent,yes,yes,Masterforce,MEN-615569,139.98,per_box,22.71,,6.1638,equivalent,yes,yes,Rush River,TIL-307477,174.98,per_case,26.42,,6.623,equivalent,yes,yes,5.163,-0.2659,win,floor_and_decor
G0027,Luxury Vinyl Plank,Glue Down LVP,Glue Down LVP - Ivory rigid core 20,sq_ft,212609.0,AquaGuard,FLO-829501,3.19,per_sq_ft,,,3.19,base,yes,yes,Home Decorators Collection,HOM-326659,3.89,per_sq_ft,,,3.89,equivalent,yes,yes,SMARTCORE,LOW-344190,99.98,per_case,27.26,,3.6676,equivalent,yes,yes,Patrician,MEN-361175,76.98,per_box,22.33,,3.4474,equivalent,yes,yes,Rush River,TIL-618065,4.49,per_sq_ft,,3.59,3.59,equivalent,yes,yes,3.4474,-0.0747,win,floor_and_decor
G0028,Luxury Vinyl Plank,Glue Down LVP,Glue Down LVP - Alabaster SPC 12,sq_ft,132973.0,DuraLux,FLO-641158,2.09,per_sq_ft,,,2.09,base,yes,yes,Home Decorators Collection,HOM-313176,2.69,per_sq_ft,,,2.69,equivalent,yes,yes,Origin 21,LOW-335560,64.97,per_case,26.93,57.97,2.1526,equivalent,yes,yes,Masterforce,MEN-966139,47.97,per_box,19.14,,2.5063,equivalent,yes,yes,Superior,TIL-680333,68.98,per_case,25.45,57.98,2.2782,equivalent,no,no,2.1526,-0.0291,win,floor_and_decor
G0029,Luxury Vinyl Plank,Waterproof LVP,Waterproof LVP - Autumn Hollow SPC 12,sq_ft,212904.0,NuCore,FLO-280449,1.79,per_sq_ft,,,1.79,base,yes,yes,LifeProof,HOM-492650,1.99,per_sq_ft,,,1.99,equivalent,yes,yes,Origin 21,LOW-975615,2.19,per_sq_ft,,,2.19,equivalent,yes,yes,Masterforce,MEN-479475,38.99,per_box,20.33,32.98,1.6222,equivalent,yes,yes,Kismet,TIL-433960,52.99,per_case,25.28,,2.0961,equivalent,yes,yes,1.6222,0.1034,loss,menards
G0030,Luxury Vinyl Plank,WPC Rigid Core,WPC Rigid Core - Granite Peak WPC 12,sq_ft,195088.0,DuraLux,FLO-656982,4.29,per_sq_ft,,,4.29,base,yes,yes,Home Decorators Collection,HOM-874259,4.69,per_sq_ft,,,4.69,equivalent,yes,yes,SMARTCORE,LOW-258285,124.98,per_case,22.77,,5.4888,equivalent,yes,yes,,,,,,,,not carried,,no,Kismet,TIL-556657,5.39,per_sq_ft,,,5.39,equivalent,yes,yes,4.69,-0.0853,win,floor_and_decor
G0031,Laminate,Waterproof Laminate,Waterproof Laminate - Fieldstone 4 7,sq_ft,91308.0,Quick-Step,FLO-455296,2.19,per_sq_ft,,1.99,1.99,base,yes,yes,Quick-Step,HOM-935024,2.39,per_sq_ft,,,2.39,exact,yes,yes,Quick-Step,LOW-447151,2.39,per_sq_ft,,,2.39,exact,yes,yes,Quick-Step,MEN-691669,45.98,per_case,20.46,,2.2473,exact,yes,yes,,,,,,,,not carried,,no,2.2473,-0.1145,win,floor_and_decor
G0032,Laminate,Waterproof Laminate,Waterproof Laminate - Sundance 4 12,sq_ft,157778.0,Sono Eclipse,FLO-906922,2.99,per_sq_ft,,,2.99,base,yes,yes,TrafficMaster,HOM-290666,3.19,per_sq_ft,,2.89,2.89,equivalent,yes,yes,allen + roth,LOW-304592,59.97,per_case,19.17,53.98,2.8159,equivalent,yes,yes,Masterforce,MEN-183020,3.09,per_sq_ft,,,3.09,equivalent,yes,yes,,,,,,,,not carried,,no,2.8159,0.0618,loss,lowes
G0033,Laminate,Water Resistant Laminate,Water Resistant Laminate - Coastal Grey 3 7,sq_ft,63538.0,Sono Eclipse,FLO-788574,2.59,per_sq_ft,,,2.59,base,yes,yes,Home Decorators Collection,HOM-242956,2.79,per_sq_ft,,,2.79,equivalent,yes,yes,Style Selections,LOW-676718,3.09,per_sq_ft,,,3.09,equivalent,no,no,Tuscany,MEN-804732,2.69,per_sq_ft,,,2.69,equivalent,yes,yes,,,,,,,,not carried,,no,2.69,-0.0372,win,floor_and_decor
G0034,Laminate,Water Resistant Laminate,Water Resistant Laminate - Saxony 5 7,sq_ft,49772.0,AquaGuard,FLO-141259,2.29,per_sq_ft,,,2.29,base,yes,yes,TrafficMaster,HOM-863626,2.69,per_sq_ft,,,2.69,equivalent,yes,yes,allen + roth,LOW-524442,49.97,per_case,19.16,,2.608,equivalent,yes,yes,Patrician,MEN-417317,2.29,per_sq_ft,,1.99,1.99,equivalent,yes,yes,,,,,,,,not carried,,no,1.99,0.1508,loss,menards
G0035,Laminate,Water Resistant Laminate,Water Resistant Laminate - Pembroke 5 7,sq_ft,179784.0,AquaGuard,FLO-490930,1.49,per_sq_ft,,,1.49,base,yes,yes,Home Decorators Collection,HOM-442940,1.59,per_sq_ft,,1.29,1.29,equivalent,yes,yes,allen + roth,LOW-264804,1.89,per_sq_ft,,,1.89,equivalent,yes,yes,Tuscany,MEN-833972,1.79,per_sq_ft,,,1.79,equivalent,yes,yes,,,,,,,,not carried,,no,1.29,0.155,loss,home_depot
G0036,Laminate,Waterproof Laminate,Waterproof Laminate - Slate Creek 4 10,sq_ft,179213.0,Sono Eclipse,FLO-192000,2.49,per_sq_ft,,,2.49,base,yes,yes,TrafficMaster,HOM-826025,51.97,per_case,19.69,41.99,2.1326,equivalent,yes,yes,Style Selections,LOW-492565,3.09,per_sq_ft,,,3.09,equivalent,yes,yes,Masterforce,MEN-686739,2.99,per_sq_ft,,,2.99,equivalent,yes,yes,,,,,,,,not carried,,no,2.1326,0.1676,loss,home_depot
G0037,Laminate,Water Resistant Laminate,Water Resistant Laminate - Umber 3 8,sq_ft,10355.0,Sono Eclipse,FLO-543688,1.79,per_sq_ft,,,1.79,base,yes,yes,TrafficMaster,HOM-650443,30.98,per_case,16.41,,1.8879,close,yes,yes,Style Selections,LOW-720706,2.09,per_sq_ft,,,2.09,equivalent,yes,yes,Tuscany,MEN-727741,1.89,per_sq_ft,,,1.89,equivalent,yes,yes,,,,,,,,not carried,,no,1.8879,-0.0519,win,floor_and_decor
G0038,Laminate,Waterproof Laminate,Waterproof Laminate - Cedar Point 4 12,sq_ft,18181.0,Sono Eclipse,FLO-120134,2.39,per_sq_ft,,,2.39,base,yes,yes,TrafficMaster,HOM-443163,49.97,per_case,18.96,,2.6355,equivalent,yes,yes,allen + roth,LOW-745093,2.59,per_sq_ft,,,2.59,equivalent,yes,yes,Patrician,MEN-876841,60.99,per_case,21.12,,2.8878,equivalent,yes,yes,,,,,,,,not carried,,no,2.59,-0.0772,win,floor_and_decor
G0039,Laminate,Water Resistant Laminate,Water Resistant Laminate - Windsor 5 10,sq_ft,70810.0,Sono Eclipse,FLO-114079,1.89,per_sq_ft,,,1.89,base,yes,yes,TrafficMaster,HOM-805579,2.09,per_sq_ft,,,2.09,equivalent,yes,yes,Style Selections,LOW-272202,43.98,per_case,20.35,,2.1612,equivalent,yes,yes,Tuscany,MEN-120109,2.39,per_sq_ft,,,2.39,equivalent,yes,yes,,,,,,,,not carried,,no,2.09,-0.0957,win,floor_and_decor
G0040,Laminate,Waterproof Laminate,Waterproof Laminate - Coastal Grey 5 12,sq_ft,18195.0,Mohawk,FLO-740499,3.39,per_sq_ft,,,3.39,base,yes,yes,Mohawk,HOM-366227,75.98,per_case,21.4,,3.5505,exact,yes,yes,Mohawk,LOW-301699,3.49,per_sq_ft,,,3.49,exact,yes,yes,Mohawk,MEN-665052,64.99,per_case,18.88,53.98,2.8591,exact,no,no,,,,,,,,not carried,,no,3.49,-0.0287,win,floor_and_decor
G0041,Laminate,Waterproof Laminate,Waterproof Laminate - Chelsea 4 7,sq_ft,33774.0,AquaGuard,FLO-419304,1.29,per_sq_ft,,,1.29,base,yes,yes,Home Decorators Collection,HOM-683447,1.49,per_sq_ft,,,1.49,equivalent,yes,yes,Style Selections,LOW-282726,23.99,per_case,17.93,,1.338,equivalent,yes,yes,Patrician,MEN-577812,27.98,per_case,21.86,,1.28,equivalent,no,no,,,,,,,,not carried,,no,1.338,-0.0359,win,floor_and_decor
G0042,Laminate,Waterproof Laminate,Waterproof Laminate - Willow Bend 4 7,sq_ft,42624.0,Sono Eclipse,FLO-585100,2.29,per_sq_ft,,,2.29,base,yes,yes,TrafficMaster,HOM-716587,54.99,per_case,22.43,,2.4516,equivalent,yes,yes,allen + roth,LOW-988722,2.79,per_sq_ft,,,2.79,equivalent,yes,yes,Masterforce,MEN-285171,2.89,per_sq_ft,,,2.89,equivalent,yes,yes,,,,,,,,not carried,,no,2.4516,-0.0659,win,floor_and_decor
G0043,Laminate,Waterproof Laminate,Waterproof Laminate - Willow Bend 5 8,sq_ft,113014.0,Sono Eclipse,FLO-765422,3.39,per_sq_ft,,,3.39,base,yes,yes,,,,,,,,not carried,,no,allen + roth,LOW-684456,4.09,per_sq_ft,,3.59,3.59,equivalent,yes,yes,Masterforce,MEN-384954,70.99,per_case,17.28,,4.1082,equivalent,yes,yes,,,,,,,,not carried,,no,3.59,-0.0557,win,floor_and_decor
G0044,Laminate,Water Resistant Laminate,Water Resistant Laminate - Carrara 4 12,sq_ft,40708.0,Sono Eclipse,FLO-500936,2.59,per_sq_ft,,,2.59,base,yes,yes,TrafficMaster,HOM-383442,3.39,per_sq_ft,,3.19,3.19,equivalent,yes,yes,Style Selections,LOW-726058,47.98,per_case,16.21,,2.9599,equivalent,yes,yes,Masterforce,MEN-674942,59.97,per_case,20.02,,2.9955,close,no,no,,,,,,,,not carried,,no,2.9599,-0.125,win,floor_and_decor
G0045,Laminate,Water Resistant Laminate,Water Resistant Laminate - Barnwood 4 12,sq_ft,106096.0,Mohawk,FLO-924677,2.19,per_sq_ft,,,2.19,base,yes,yes,Mohawk,HOM-596978,2.39,per_sq_ft,,,2.39,exact,yes,yes,Mohawk,LOW-437486,2.29,per_sq_ft,,,2.29,exact,yes,yes,,,,,,,,not carried,,no,,,,,,,,not carried,,no,2.29,-0.0437,win,floor_and_decor
G0046,Laminate,Standard Laminate,Standard Laminate - Whitewash 3 12,sq_ft,29385.0,Pergo,FLO-225600,2.39,per_sq_ft,,2.19,2.19,base,yes,yes,Pergo,HOM-921386,2.59,per_sq_ft,,,2.59,exact,yes,yes,Pergo,LOW-445390,55.98,per_case,21.92,,2.5538,exact,yes,yes,Pergo,MEN-889315,2.49,per_sq_ft,,,2.49,exact,yes,yes,,,,,,,,not carried,,no,2.49,-0.1205,win,floor_and_decor
G0047,Laminate,Water Resistant Laminate,Water Resistant Laminate - Sterling 3 10,sq_ft,159396.0,Sono Eclipse,FLO-150539,3.49,per_sq_ft,,,3.49,base,yes,yes,TrafficMaster,HOM-383078,97.99,per_case,23.22,,4.2201,equivalent,yes,yes,Style Selections,LOW-933990,71.99,per_case,18.06,,3.9862,close,yes,yes,Tuscany,MEN-966037,3.69,per_sq_ft,,,3.69,equivalent,yes,yes,,,,,,,,not carried,,no,3.69,-0.0542,win,floor_and_decor
G0048,Laminate,Water Resistant Laminate,Water Resistant Laminate - Charcoal 3 10,sq_ft,132972.0,AquaGuard,FLO-257707,2.29,per_sq_ft,,,2.29,base,yes,yes,Home Decorators Collection,HOM-220380,2.69,per_sq_ft,,,2.69,equivalent,yes,yes,Style Selections,LOW-358890,33.97,per_case,14.4,,2.359,equivalent,yes,yes,Tuscany,MEN-841954,2.39,per_sq_ft,,,2.39,equivalent,yes,yes,,,,,,,,not carried,,no,2.359,-0.0292,win,floor_and_decor
G0049,Engineered Hardwood,Click Engineered,Click Engineered - Copperfield white oak 3.0,sq_ft,48288.0,Sonoma,FLO-985042,6.49,per_sq_ft,,,6.49,base,yes,yes,Home Decorators Collection,HOM-801598,7.99,per_sq_ft,,,7.99,equivalent,yes,yes,Villa Barcelona,LOW-555679,6.89,per_sq_ft,,,6.89,close,yes,yes,Tuscany,MEN-566736,184.98,per_case,24.5,,7.5502,equivalent,yes,yes,,,,,,,,not carried,,no,6.89,-0.0581,win,floor_and_decor
