candidate_id,category,basis,match_standard,brand,product,pack,record_uom,specs,annual_volume,same_product_confirmed,collected_on,data_source,notes,fnd_carried,fnd_sku,fnd_brand,fnd_price,fnd_uom,fnd_pack_coverage,fnd_promo_price,fnd_specs,fnd_url,hd_carried,hd_sku,hd_brand,hd_price,hd_uom,hd_pack_coverage,hd_promo_price,hd_specs,hd_url,lw_carried,lw_sku,lw_brand,lw_price,lw_uom,lw_pack_coverage,lw_promo_price,lw_specs,lw_url,mnd_carried,mnd_sku,mnd_brand,mnd_price,mnd_uom,mnd_pack_coverage,mnd_promo_price,mnd_specs,mnd_url,tsh_carried,tsh_sku,tsh_brand,tsh_price,tsh_uom,tsh_pack_coverage,tsh_promo_price,tsh_specs,tsh_url
C029,Tile Trim & Edging,lin_ft,identical,Schluter,DILEX-KSA Movement Joint,8 ft 2 in,per_piece,profile=movement joint;material_trim=stainless steel,,,,,expected at all three - confirm carriage,,,,,,8.17,,,,,,,,,8.17,,,,,,,,,8.17,,,,,,,,,8.17,,,,,,,,,8.17,,,
C030,Tile Trim & Edging,lin_ft,identical,Schluter,TREP-SE Stair Nosing,4 ft 11 in,per_piece,profile=stair nose;material_trim=aluminum,,,,,expected at all three - confirm carriage,,,,,,4.92,,,,,,,,,4.92,,,,,,,,,4.92,,,,,,,,,4.92,,,,,,,,,4.92,,,
C031,Underlayment,sq_ft,identical,Roberts,Super Felt Cushion Underlayment,100 sq ft roll,per_roll_sqft,material=felt;thickness_mm=3;moisture_barrier=no,,,,,expected at all three - confirm carriage,,,,,,100,,,,,,,,,100,,,,,,,,,100,,,,,,,,,100,,,,,,,,,100,,,
C032,Underlayment,sq_ft,identical,Roberts,Serenity Foam Underlayment,100 sq ft roll,per_roll_sqft,material=foam;thickness_mm=2;moisture_barrier=yes,,,,,expected at all three - confirm carriage,,,,,,100,,,,,,,,,100,,,,,,,,,100,,,,,,,,,100,,,,,,,,,100,,,
C033,Underlayment,sq_ft,identical,MP Global,QuietWalk Underlayment,100 sq ft roll,per_roll_sqft,material=felt;thickness_mm=3;moisture_barrier=yes,,,,,expected at all three - confirm carriage,,,,,,100,,,,,,,,,100,,,,,,,,,100,,,,,,,,,100,,,,,,,,,100,,,
C034,Underlayment,sq_ft,identical,Roberts,First Step Underlayment,630 sq ft roll,per_roll_sqft,material=foam;thickness_mm=2;moisture_barrier=yes,,,,,expected at all three - confirm carriage,,,,,,630,,,,,,,,,630,,,,,,,,,630,,,,,,,,,630,,,,,,,,,630,,,
C035,Installation Tools,each,identical,QEP,LASH Tile Leveling System Clips (100 ct),100 count,per_each,tool_type=leveling clips;power=manual,,,,,expected at all three - confirm carriage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C036,Installation Tools,each,identical,QEP,LASH Tile Leveling Wedges (48 ct),48 count,per_each,tool_type=leveling wedges;power=manual,,,,,expected at all three - confirm carriage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C037,Installation Tools,each,identical,QEP,7 in Wet Tile Saw,each,per_each,tool_type=wet saw;power=electric;capacity=7,,,,,expected at all three - confirm carriage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C038,Installation Tools,each,identical,QEP,24 in Ceramic Tile Cutter,each,per_each,tool_type=snap cutter;power=manual;capacity=24,,,,,expected at all three - confirm carriage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C039,Installation Tools,each,identical,Rubi,TX-700 Tile Cutter,each,per_each,tool_type=snap cutter;power=manual;capacity=28,,,,,expected at all three - confirm carriage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C040,Installation Tools,each,identical,QEP,1/4 in x 3/8 in Square-Notch Trowel,each,per_each,tool_type=notched trowel;power=manual;material=steel,,,,,expected at all three - confirm carriage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C041,Installation Tools,each,identical,QEP,Gum Rubber Grout Float,each,per_each,tool_type=grout float;power=manual,,,,,expected at all three - confirm carriage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C042,Installation Tools,each,identical,QEP,Professional Knee Pads,pair,per_each,tool_type=knee pads;power=manual,,,,,expected at all three - confirm carriage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C043,Installation Tools,each,identical,Marshalltown,Margin Trowel 5 in x 2 in,each,per_each,tool_type=margin trowel;power=manual;material=steel,,,,,expected at all three - confirm carriage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C044,Sealers & Care,each,identical,Custom Building Products,Aqua Mix Sealer's Choice Gold,1 qt,per_each,chemistry=impregnating sealer,,,,,expected at all three - confirm carriage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C045,Sealers & Care,each,identical,Custom Building Products,Aqua Mix Grout Colorant,8 oz,per_each,chemistry=colorant,,,,,expected at all three - confirm carriage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C046,Sealers & Care,each,identical,Miracle Sealants,511 Impregnator Sealer,1 qt,per_each,chemistry=impregnating sealer,,,,,expected at all three - confirm carriage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C047,Sealers & Care,each,identical,Bona,Hardwood Floor Cleaner,32 oz spray,per_each,chemistry=cleaner;surface=hardwood,,,,,expected at all three - confirm carriage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C048,Sealers & Care,each,identical,Bona,Hardwood Floor Cleaner Refill,128 oz,per_each,chemistry=cleaner;surface=hardwood,,,,,expected at all three - confirm carriage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C049,Sealers & Care,each,identical,DAP,Alex Plus Acrylic Latex Caulk Plus Silicone,10.1 oz tube,per_each,chemistry=acrylic latex caulk,,,,,expected at all three - confirm carriage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C050,Sealers & Care,each,identical,Zinsser,Bulls Eye 1-2-3 Primer,1 gal,per_each,chemistry=primer,,,,,expected at all three - confirm carriage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C051,Trim & Moulding,lin_ft,identical,M-D Building Products,Aluminum Carpet Trim / Transition,36 in,per_piece,profile=threshold;material_trim=aluminum,,,,,expected at all three - confirm carriage,,,,,,3,,,,,,,,,3,,,,,,,,,3,,,,,,,,,3,,,,,,,,,3,,,
C052,Trim & Moulding,lin_ft,identical,M-D Building Products,Vinyl Reducer Transition,36 in,per_piece,profile=reducer;material_trim=vinyl,,,,,expected at all three - confirm carriage,,,,,,3,,,,,,,,,3,,,,,,,,,3,,,,,,,,,3,,,,,,,,,3,,,
C053,Trim & Moulding,lin_ft,identical,TrafficMaster,Seam Binder Transition,36 in,per_piece,profile=seam binder;material_trim=aluminum,,,,,HD-exclusive brand - likely to fail carriage; kept as a control,,,,,,3,,,,,,,,,3,,,,,,,,,3,,,,,,,,,3,,,,,,,,,3,,,
